Composer	Title	Where	Sung
Stevens (arr.)	Sing we to this merry company	CfC3 p166	
Stevens (arr.)	There is no rose	CfC2 p190	🟢
Stewart	On this day earth shall ring	AfC4 p24	
Stone	The Lord's Prayer	AfC1 p172	
Sullivan (arr.)	It came upon the midnight clear	CfC2 p89 (with Willcocks descant), CfC1 p59	
Sweelinck	How brightly beams the morning star!	NOEAB p90	🟢
Tallis	A new commandment 	FaberTal p9	🟢
Tallis	Audivi, media nocte	XVIAB p8	
Tallis	Discomfit them, O Lord 	FaberTal p24	
Tallis	Euge caeli	2ndCh p25	
Tallis	I call and cry to thee, O Lord 	FaberTal p13	
Tallis	If ye love me	NCAB p177; NOEAB p98; OBTA p122; FaberTal p4; ECM1 p298	🟢
Tallis	Loquebantur variis linguis	ECM1 p285	
Tallis	O Lord, give thy Holy Spirit	XVIAB p47; FaberTal p11; ECM1 p293	🟢
Tallis	O nata lux	OBTA p248; ECM1 p296	🟢
Tallis	Hear the voice and prayer	FaberTal p6	🟢
Tallis	Salvator mundi	OBTA p273	🟢
Tallis	Sancte Deus	2ndCh p27	
Tallis	Verily, verily I say unto you	AfC1 p208	🟢
Tallis	Why fumeth in sight 	FaberTal p13	🟢
Tallis	With all our heart 	FaberTal p21	🟢
Tallis (attrib.)	All people that on earth do dwell	AfC1 p18	
Tate	Carol, with lullaby	CfC1 p72	
Taverner	Alleluia	2ndCh p33	
Taverner	Audivi	2ndCh p35	
Taverner	Dum transisset Sabbatum	ECM1 p300	
Tchaikovsky	Holy, Holy, Holy (Hymn to the Trinity)	NCAB p155	
Tchaikovsky	The crown of roses	CfC3 p196	
Terry	Myn lyking	CfC2 p84	
Terry	Richard de Castre's Prayer to Jesus (Jhesu, Lord, that mades me)	OEAB p175	
Thatcher	Come, ye faithful	NCAB p104; NOEAB p44; OEAB p58	
Thorne	Christ is our Cornerstone	NOEAB p36	
Tomblings	All from the sun's uprise	OEAB p129	
Tomkins	I heard a voice	OBTA p126	
Tomkins	O pray for the peace of Jerusalem	XVIAB p101	
Tomkins	When David heard	OBTA p332; ECM p307	
Trevor (arr.)	The angels and the shepherds	CfC2 p182	
